n_articles,n_properties_present,model_a_level,model_a_label,model_a_sig_count,model_b_risk_score,model_b_raw_score,date,event_id,actual_label
41353,12,3,Alert,12,0.0,0.0,2006-01-17,1,1
87150,12,3,Alert,12,0.0,0.0,2006-02-03,2,1
115834,12,3,Alert,12,0.0,0.0,2006-03-03,3,1
115550,12,3,Alert,12,0.0,0.0,2006-03-22,4,1
127811,12,3,Alert,12,0.0,0.0,2006-04-28,5,1
119524,12,3,Alert,12,0.0,0.0,2006-05-15,6,1
119749,12,3,Alert,12,0.2,0.0126,2006-06-07,7,1
116202,12,3,Alert,12,0.69,0.0431,2006-06-20,8,1
120346,12,3,Alert,12,0.0,0.0,2006-07-14,9,1
107854,12,3,Alert,12,0.0,0.0,2006-10-09,10,1
115613,12,3,Alert,12,0.0,0.0,2007-02-28,11,1
128685,12,3,Alert,12,0.0,0.0,2007-07-26,12,1
129555,12,3,Alert,12,0.38,0.0239,2007-08-10,13,1
127219,12,3,Alert,12,0.33,0.0207,2007-08-16,14,1
127554,12,3,Alert,12,0.0,0.0,2007-09-10,15,1
117936,12,3,Alert,12,0.0,0.0,2007-10-22,16,1
127899,12,3,Alert,12,1.08,0.0681,2007-11-02,17,1
130184,12,3,Alert,12,0.78,0.0488,2007-11-08,18,1
141576,12,3,Alert,12,0.88,0.0553,2007-11-21,19,1
137436,12,3,Alert,12,0.31,0.0194,2007-12-17,20,1
132694,12,3,Alert,12,0.0,0.0,2008-01-02,21,1
138767,12,3,Alert,12,0.0,0.0,2008-01-11,22,1
138252,12,3,Alert,12,7.66,0.4818,2008-01-28,23,1
137205,12,3,Alert,12,2.5,0.1574,2008-02-11,24,1
153295,12,3,Alert,12,4.08,0.2569,2008-03-03,25,1
154617,12,3,Alert,12,3.7,0.2327,2008-03-10,26,1
177931,12,3,Alert,12,13.45,0.8456,2008-06-12,27,1
190700,12,3,Alert,12,24.89,1.5651,2008-07-02,28,1
189071,12,3,Alert,12,31.89,2.0054,2008-07-08,29,1
192279,12,3,Alert,12,37.26,2.3431,2008-07-15,30,1
177765,12,3,Alert,12,11.23,0.7065,2008-09-01,31,1
171821,12,3,Alert,12,20.93,1.3162,2008-09-16,32,1
182931,12,3,Alert,12,54.19,3.408,2008-10-06,33,1
210798,12,3,Alert,12,100.0,6.289,2008-11-06,34,1
210481,12,3,Alert,12,73.19,4.6031,2008-12-02,35,1
220275,12,3,Alert,12,66.09,4.1563,2008-12-12,36,1
210680,12,3,Alert,12,54.35,3.4183,2008-12-23,37,1
210857,12,3,Alert,12,45.51,2.8619,2009-01-09,38,1
211910,12,3,Alert,12,36.72,2.3094,2009-02-17,39,1
213220,12,3,Alert,12,45.88,2.8855,2009-03-02,40,1
230634,12,3,Alert,12,35.66,2.2425,2009-03-30,41,1
237670,12,3,Alert,12,25.64,1.6124,2009-04-08,42,1
228272,12,3,Alert,12,29.3,1.8427,2009-04-28,43,1
227245,12,3,Alert,12,10.95,0.6888,2009-05-14,44,1
212662,12,3,Alert,12,15.01,0.9441,2009-05-26,45,1
223627,12,3,Alert,12,20.0,1.2577,2009-06-04,46,1
216539,12,3,Alert,12,25.14,1.5811,2009-06-23,47,1
220408,12,3,Alert,12,28.04,1.7633,2009-07-13,48,1
219281,12,3,Alert,12,18.56,1.1673,2009-08-17,49,1
226275,12,3,Alert,12,15.81,0.9946,2009-10-05,50,1
231157,12,3,Alert,12,21.9,1.377,2009-10-28,51,1
238820,12,3,Alert,12,12.8,0.8053,2009-11-27,52,1
237009,12,3,Alert,12,15.74,0.9898,2010-01-22,53,1
237480,12,3,Alert,12,21.41,1.3465,2010-01-29,54,1
238630,12,3,Alert,12,24.1,1.5158,2010-02-05,55,1
265595,12,3,Alert,12,23.26,1.4627,2010-05-07,56,1
256994,12,3,Alert,12,30.23,1.9011,2010-05-17,57,1
260738,12,3,Alert,12,36.1,2.2705,2010-05-25,58,1
270271,12,3,Alert,12,30.78,1.936,2010-08-12,59,1
286315,12,3,Alert,12,37.3,2.3459,2010-11-11,60,1
260604,12,3,Alert,12,48.64,3.059,2011-03-15,61,1
274383,12,3,Alert,12,9.44,0.5938,2011-05-12,62,1
256360,12,3,Alert,12,12.99,0.8168,2011-05-23,63,1
269558,12,3,Alert,12,22.82,1.4352,2011-07-12,64,1
267686,12,3,Alert,12,25.53,1.6055,2011-08-02,65,1
267754,12,3,Alert,12,80.4,5.0565,2011-08-19,66,1
257606,12,3,Alert,12,41.78,2.6278,2011-09-05,67,1
253295,12,3,Alert,12,21.29,1.3387,2011-09-14,68,1
264993,12,3,Alert,12,29.54,1.8578,2011-09-22,69,1
265276,12,3,Alert,12,70.23,4.4167,2011-10-05,70,1
273145,12,3,Alert,12,35.46,2.2301,2011-10-20,71,1
290605,12,3,Alert,12,29.31,1.843,2011-11-10,72,1
289101,12,3,Alert,12,37.15,2.3362,2011-11-23,73,1
296868,12,3,Alert,12,37.0,2.327,2011-12-15,74,1
278374,12,3,Alert,12,16.89,1.0624,2012-05-16,75,1
261390,12,3,Alert,12,27.13,1.7059,2012-06-04,76,1
277601,12,3,Alert,12,32.22,2.0264,2012-06-22,77,1
284017,12,3,Alert,12,32.06,2.0161,2012-07-12,78,1
277995,12,3,Alert,12,18.81,1.1829,2013-06-20,79,1
298654,12,3,Alert,12,9.88,0.6215,2014-01-02,80,1
327642,12,3,Alert,12,27.17,1.7089,2015-07-06,81,1
330044,12,3,Alert,12,18.52,1.1649,2015-08-21,82,1
294621,12,3,Alert,12,7.74,0.4867,2016-01-04,83,1
302806,12,3,Alert,12,32.41,2.0381,2016-01-20,84,1
316934,12,3,Alert,12,16.61,1.0446,2016-02-11,85,1
307878,12,3,Alert,12,6.9,0.4338,2016-06-24,86,1
274926,12,3,Alert,12,4.43,0.2789,2016-09-12,87,1
311524,12,3,Alert,12,12.87,0.8096,2016-11-09,88,1
302817,12,3,Alert,12,3.01,0.189,2018-02-07,89,1
297225,12,3,Alert,12,0.0,0.0,2018-03-23,90,1
300971,12,3,Alert,12,1.67,0.1051,2018-07-02,91,1
283998,12,3,Alert,12,0.53,0.0331,2018-10-11,92,1
274518,12,3,Alert,12,11.15,0.7012,2018-10-23,93,1
338921,12,3,Alert,12,2.24,0.1408,2019-05-09,94,1
320842,12,3,Alert,12,5.1,0.3209,2019-07-08,95,1
333572,12,3,Alert,12,12.76,0.8022,2019-08-05,96,1
300607,12,3,Alert,12,0.0,0.0,2020-01-28,97,1
322867,12,3,Alert,12,15.11,0.9503,2020-02-24,98,1
348752,12,3,Alert,12,27.15,1.7074,2020-03-06,99,1
388463,12,3,Alert,12,67.38,4.2376,2020-04-01,100,1
364492,12,3,Alert,12,32.45,2.0406,2020-05-04,101,1
345701,12,3,Alert,12,21.85,1.3742,2020-06-12,102,1
365968,12,3,Alert,12,25.07,1.5768,2020-06-25,103,1
337745,12,3,Alert,12,11.86,0.7457,2020-08-18,104,1
349415,12,3,Alert,12,18.0,1.1323,2020-09-22,105,1
348997,12,3,Alert,12,15.41,0.9693,2020-10-30,106,1
360881,12,3,Alert,12,12.53,0.7882,2021-01-15,107,1
346620,12,3,Alert,12,18.54,1.1662,2021-01-26,108,1
365566,12,3,Alert,12,7.07,0.4448,2021-02-24,109,1
328353,12,3,Alert,12,15.25,0.9592,2021-11-30,110,1
325411,12,3,Alert,12,16.2,1.0191,2022-01-25,111,1
333587,12,3,Alert,12,21.19,1.3324,2022-02-24,112,1
314945,12,3,Alert,12,21.93,1.3793,2022-03-07,113,1
331367,12,3,Alert,12,11.2,0.7041,2022-06-13,114,1
331352,12,3,Alert,12,23.56,1.4817,2022-06-20,115,1
333186,12,3,Alert,12,44.22,2.7809,2022-07-06,116,1
321591,12,3,Alert,12,11.47,0.7211,2022-08-29,117,1
308558,12,3,Alert,12,20.93,1.3163,2022-09-26,118,1
332930,12,3,Alert,12,32.6,2.0504,2022-12-28,119,1
327368,12,3,Alert,12,16.63,1.0461,2023-03-14,120,1
317928,12,3,Alert,12,5.96,0.3749,2023-10-04,121,1
312996,12,3,Alert,12,24.98,1.5713,2023-10-26,122,1
296349,12,3,Alert,12,24.54,1.5431,2023-11-07,123,1
342076,12,3,Alert,12,15.89,0.9991,2024-01-03,124,1
342108,12,3,Alert,12,20.65,1.2985,2024-01-17,125,1
356279,12,3,Alert,12,8.68,0.5459,2024-04-16,126,1
378518,12,3,Alert,12,8.68,0.5459,2024-08-02,127,1
356239,12,3,Alert,12,11.36,0.7147,2024-09-04,128,1
338398,12,3,Alert,12,6.17,0.3879,2024-09-30,129,1
358551,12,3,Alert,12,21.26,1.3372,2024-11-13,130,1
385900,12,3,Alert,12,35.68,2.2438,2024-12-09,131,1
309619,12,3,Alert,12,8.55,0.5374,2025-02-03,132,1
356298,12,3,Alert,12,24.62,1.5483,2025-02-28,133,1
367775,12,3,Alert,12,29.65,1.8647,2025-03-31,134,1
372709,12,3,Alert,12,37.06,2.3309,2025-04-07,135,1
395142,12,3,Alert,12,22.82,1.4353,2025-08-01,136,1
386620,12,3,Alert,12,29.1,1.8301,2025-09-26,137,1
340542,12,3,Alert,12,45.07,2.8342,2025-11-04,138,1
358164,12,3,Alert,12,41.38,2.6026,2025-11-14,139,1
383114,12,3,Alert,12,42.94,2.7003,2025-12-16,140,1
357101,12,3,Alert,12,53.25,3.349,2026-02-02,141,1
272176,12,3,Alert,12,17.75,1.1164,2012-10-15,1,0
273226,12,3,Alert,12,19.48,1.2249,2012-10-16,2,0
286692,12,3,Alert,12,18.29,1.1503,2012-10-18,3,0
272837,12,3,Alert,12,27.21,1.7113,2012-10-23,4,0
287173,12,3,Alert,12,32.46,2.0416,2012-10-26,5,0
272463,12,3,Alert,12,34.87,2.1929,2012-10-29,6,0
273739,12,3,Alert,12,35.25,2.2167,2012-10-30,7,0
287845,12,3,Alert,12,33.83,2.1274,2012-11-02,8,0
273054,12,3,Alert,12,31.1,1.9556,2012-11-05,9,0
282684,12,3,Alert,12,29.03,1.8256,2012-11-07,10,0
289608,12,3,Alert,12,26.77,1.6837,2012-11-08,11,0
289861,12,3,Alert,12,26.65,1.6759,2012-11-09,12,0
277045,12,3,Alert,12,26.41,1.6612,2012-11-13,13,0
292246,12,3,Alert,12,27.76,1.7457,2012-11-15,14,0
293510,12,3,Alert,12,28.88,1.8164,2012-11-19,15,0
301286,12,3,Alert,12,27.23,1.7127,2012-11-21,16,0
306721,12,3,Alert,12,26.95,1.6947,2012-11-22,17,0
306523,12,3,Alert,12,25.22,1.5862,2012-11-23,18,0
291127,12,3,Alert,12,23.99,1.5087,2012-11-26,19,0
300018,12,3,Alert,12,22.51,1.4157,2012-11-28,20,0
305987,12,3,Alert,12,23.82,1.4977,2012-11-29,21,0
306630,12,3,Alert,12,22.85,1.4373,2012-11-30,22,0
292075,12,3,Alert,12,19.3,1.2136,2012-12-04,23,0
297956,12,3,Alert,12,16.96,1.0666,2012-12-05,24,0
304550,12,3,Alert,12,16.18,1.0174,2012-12-06,25,0
304820,12,3,Alert,12,15.89,0.9993,2012-12-07,26,0
289435,12,3,Alert,12,15.14,0.952,2012-12-10,27,0
291042,12,3,Alert,12,16.03,1.0079,2012-12-11,28,0
298754,12,3,Alert,12,16.64,1.0467,2012-12-12,29,0
306173,12,3,Alert,12,15.49,0.9739,2012-12-13,30,0
291730,12,3,Alert,12,16.18,1.0176,2012-12-17,31,0
294351,12,3,Alert,12,17.55,1.1038,2012-12-18,32,0
306236,12,3,Alert,12,11.98,0.7537,2012-12-20,33,0
292784,12,3,Alert,12,9.17,0.5769,2012-12-26,34,0
279192,12,3,Alert,12,4.1,0.2579,2013-01-02,35,0
283185,12,3,Alert,12,5.03,0.3164,2013-01-03,36,0
282305,12,3,Alert,12,5.41,0.3404,2013-01-04,37,0
266347,12,3,Alert,12,4.88,0.3067,2013-01-07,38,0
275590,12,3,Alert,12,7.32,0.4607,2013-01-10,39,0
259091,12,3,Alert,12,8.39,0.5274,2013-01-14,40,0
259944,12,3,Alert,12,10.14,0.6377,2013-01-15,41,0
272751,12,3,Alert,12,17.76,1.1172,2013-01-18,42,0
258113,12,3,Alert,12,18.59,1.169,2013-01-21,43,0
269826,12,3,Alert,12,19.61,1.2335,2013-01-24,44,0
253545,12,3,Alert,12,22.28,1.4012,2013-01-28,45,0
254876,12,3,Alert,12,24.64,1.5494,2013-01-29,46,0
262257,12,3,Alert,12,25.05,1.5753,2013-01-30,47,0
267417,12,3,Alert,12,26.78,1.6839,2013-02-01,48,0
253666,12,3,Alert,12,25.31,1.5918,2013-02-05,49,0
266848,12,3,Alert,12,25.26,1.5886,2013-02-07,50,0
268326,12,3,Alert,12,24.25,1.5251,2013-02-08,51,0
253036,12,3,Alert,12,13.37,0.8407,2013-02-12,52,0
260075,12,3,Alert,12,13.82,0.8689,2013-02-13,53,0
266679,12,3,Alert,12,14.15,0.8897,2013-02-14,54,0
264163,12,3,Alert,12,11.38,0.7158,2013-02-18,55,0
266329,12,3,Alert,12,9.73,0.6119,2013-02-19,56,0
273149,12,3,Alert,12,7.2,0.453,2013-02-20,57,0
279518,12,3,Alert,12,6.2,0.3901,2013-02-21,58,0
281429,12,3,Alert,12,5.95,0.3745,2013-02-22,59,0
269957,12,3,Alert,12,5.89,0.3704,2013-02-25,60,0
272209,12,3,Alert,12,6.1,0.3838,2013-02-26,61,0
285836,12,3,Alert,12,6.38,0.4014,2013-02-28,62,0
269088,12,3,Alert,12,5.85,0.3682,2013-03-04,63,0
271573,12,3,Alert,12,10.19,0.6406,2013-03-05,64,0
279551,12,3,Alert,12,10.58,0.6653,2013-03-06,65,0
287500,12,3,Alert,12,11.79,0.7418,2013-03-08,66,0
274890,12,3,Alert,12,13.31,0.8368,2013-03-12,67,0
281917,12,3,Alert,12,13.43,0.8448,2013-03-13,68,0
288462,12,3,Alert,12,13.76,0.8652,2013-03-14,69,0
273263,12,3,Alert,12,14.47,0.9101,2013-03-18,70,0
274715,12,3,Alert,12,16.64,1.0463,2013-03-19,71,0
287740,12,3,Alert,12,17.81,1.1202,2013-03-21,72,0
245928,12,3,Alert,12,1.72,0.1079,2013-09-23,73,0
254605,12,3,Alert,12,1.93,0.1211,2013-09-25,74,0
260638,12,3,Alert,12,2.32,0.1459,2013-09-26,75,0
255234,12,3,Alert,12,2.54,0.1598,2013-10-01,76,0
335855,12,3,Alert,12,8.0,0.5028,2014-04-03,77,0
319238,12,3,Alert,12,6.37,0.4005,2014-04-07,78,0
320666,12,3,Alert,12,5.8,0.3647,2014-04-08,79,0
334923,12,3,Alert,12,6.44,0.4051,2014-04-10,80,0
335252,12,3,Alert,12,6.42,0.4036,2014-04-11,81,0
316654,12,3,Alert,12,6.86,0.4313,2014-04-14,82,0
324573,12,3,Alert,12,7.75,0.4874,2014-04-16,83,0
330613,12,3,Alert,12,7.75,0.4873,2014-04-18,84,0
312610,12,3,Alert,12,6.47,0.4067,2014-04-21,85,0
313249,12,3,Alert,12,5.35,0.3367,2014-04-22,86,0
325231,12,3,Alert,12,4.24,0.2668,2014-04-25,87,0
307674,12,3,Alert,12,4.07,0.2557,2014-04-28,88,0
307993,12,3,Alert,12,3.79,0.2385,2014-04-29,89,0
316491,12,3,Alert,12,3.97,0.2497,2014-04-30,90,0
303236,12,3,Alert,12,1.15,0.0724,2014-05-08,91,0
304040,12,3,Alert,12,0.89,0.0559,2014-05-09,92,0
290950,12,3,Alert,12,0.46,0.029,2014-05-12,93,0
301162,12,3,Alert,12,0.21,0.0133,2014-05-14,94,0
307496,12,3,Alert,12,0.21,0.0132,2014-05-15,95,0
292559,12,3,Alert,12,0.56,0.0351,2014-05-19,96,0
296208,12,3,Alert,12,1.2,0.0757,2014-05-20,97,0
305020,12,3,Alert,12,1.85,0.1166,2014-05-21,98,0
312593,12,3,Alert,12,1.67,0.1048,2014-05-22,99,0
299522,12,3,Alert,12,1.5,0.0945,2014-05-26,100,0
301639,12,3,Alert,12,4.17,0.2622,2014-05-27,101,0
309646,12,3,Alert,12,7.52,0.4726,2014-05-28,102,0
316650,12,3,Alert,12,7.42,0.4666,2014-05-29,103,0
318399,12,3,Alert,12,7.98,0.5021,2014-05-30,104,0
304665,12,3,Alert,12,7.28,0.4576,2014-06-02,105,0
308000,12,3,Alert,12,7.71,0.4851,2014-06-03,106,0
302749,12,3,Alert,12,1.3,0.082,2014-06-09,107,0
303061,12,3,Alert,12,0.86,0.0538,2014-06-10,108,0
310114,12,3,Alert,12,0.57,0.0357,2014-06-11,109,0
316055,12,3,Alert,12,0.34,0.0212,2014-06-12,110,0
300351,12,3,Alert,12,0.71,0.0445,2014-06-17,111,0
305990,12,3,Alert,12,1.07,0.0675,2014-06-18,112,0
311927,12,3,Alert,12,1.35,0.0849,2014-06-19,113,0
305967,12,3,Alert,12,1.74,0.1096,2014-06-23,114,0
305130,12,3,Alert,12,1.69,0.1062,2014-06-24,115,0
316121,12,3,Alert,12,3.33,0.2094,2014-06-26,116,0
297323,12,3,Alert,12,6.01,0.378,2014-07-01,117,0
303308,12,3,Alert,12,5.96,0.3747,2014-07-02,118,0
286874,12,3,Alert,12,5.8,0.3651,2014-07-07,119,0
287017,12,3,Alert,12,5.55,0.3491,2014-07-08,120,0
294046,12,3,Alert,12,5.43,0.3415,2014-07-09,121,0
299482,12,3,Alert,12,5.17,0.3253,2014-07-10,122,0
298613,12,3,Alert,12,5.12,0.322,2014-07-11,123,0
279844,12,3,Alert,12,4.24,0.2664,2014-07-14,124,0
287865,12,3,Alert,12,3.27,0.2057,2014-07-18,125,0
271181,12,3,Alert,12,2.79,0.1755,2014-07-21,126,0
274968,12,3,Alert,12,3.0,0.1884,2014-07-22,127,0
281908,12,3,Alert,12,3.18,0.1998,2014-07-23,128,0
288463,12,3,Alert,12,3.1,0.1952,2014-07-24,129,0
290039,12,3,Alert,12,3.73,0.2344,2014-07-25,130,0
276293,12,3,Alert,12,4.04,0.2543,2014-07-28,131,0
284611,12,3,Alert,12,4.52,0.2843,2014-07-30,132,0
291865,12,3,Alert,12,4.89,0.3077,2014-08-01,133,0
279447,12,3,Alert,12,5.09,0.32,2014-08-04,134,0
280160,12,3,Alert,12,4.88,0.3069,2014-08-05,135,0
285561,12,3,Alert,12,4.53,0.2851,2014-08-06,136,0
290626,12,3,Alert,12,4.43,0.2788,2014-08-07,137,0
290879,12,3,Alert,12,4.27,0.2685,2014-08-08,138,0
276351,12,3,Alert,12,4.37,0.2746,2014-08-11,139,0
